system|sub_system|sub_sub_system|department
SWITCH 7 & 8|Switch Beam|T-Shaft - Nipple Point Grease|TNMD
SWITCH 7 & 8|Switch Beam|Pivot|TNMD
SWITCH 7 & 8|Switch Beam|Pivot Bearing|TNMD
SWITCH 7 & 8|Switch Beam|Identification Plate Pivot|TNMD
SWITCH 7 & 8|Local Control Panel|Thermostat switch Brand : DEMEX Specifications : Heat Process, 1NC , Cool Process, 1NO|TNMD
SWITCH 7 & 8|Local Control Panel|Push button Specifications : Momentary, Round Flush 1NO Black|TNMD
SWITCH 7 & 8|Local Control Panel|Selector Key Switch Specifications : 2-Pos Left Key Withdraw 1NO, diameter 22mm|TNMD
SWITCH 7 & 8|Local Control Panel|Pilot Lamp Specifications : Round Flush, Without Lamp, White and Amber|TNMD
SWITCH 7 & 8|Local Control Panel|Pilot Lamp Specifications : Round Flush, Without Lamp, White and Amber|TNMD
SWITCH 7 & 8|Local Control Panel|Emergency Stop Push Button Specifications : Push Lock Turn Reset 2NC Red, diameter 22mm|TNMD
SWITCH 7 & 8|Local Control Panel|Power supply unit Brand : Meanwell Specifications : 120/230VAC 24VDC, 20A|TNMD
SWITCH 7 & 8|Local Control Panel|Auxiliary Switch (ChangeOver) Brand : MERLIN GERIN Specifications : Used for MCCB , OF/SD/SDE/SDV|TNMD
SWITCH 7 & 8|Local Control Panel|MCCB Compact NS 100L Brand: MERLIN GERIN Specifications : 4 pole 63A 150kA|TNMD
SWITCH 7 & 8|Local Control Panel|MCCB Compact NS 100L Brand: MERLIN GERIN Specifications : 4 pole 63A 150kA|TNMD
SWITCH 7 & 8|Local Control Panel|MCB C60N Brand : MERLIN GERIN Specifications : 2 pole, 6A, 10kA, C-Curve, 3 pole, 40A, 10kA, D-curve, 4 pole, 2A, 10kA, C-Curve|TNMD
SWITCH 7 & 8|Local Control Panel|MCB C60N Brand : MERLIN GERIN Specifications : 2 pole, 6A, 10kA, C-Curve, 3 pole, 40A, 10kA, D-curve, 4 pole, 2A, 10kA, C-Curve|TNMD
SWITCH 7 & 8|Local Control Panel|MCB C60N Brand : MERLIN GERIN Specifications : 2 pole, 6A, 10kA, C-Curve, 3 pole, 40A, 10kA, D-curve, 4 pole, 2A, 10kA, C-Curve|TNMD
SWITCH 7 & 8|Local Control Panel|MCB C60H Brand : MERLIN GERIN Specifications: 2Pole, 40A, 15kA, C-Curve|TNMD
SWITCH 7 & 8|Fallback Control Panel|PRD65r Surge Arresters Brand : MERLIN GERIN Specifications : 3Pole+N 230/400Vac 65kA, 1Pole+N 230/400Vac 65kA|TNMD
SWITCH 7 & 8|Fallback Control Panel|Ammeter Selector Switch Brand : Salzer Specifications : Off, R, Y and B|TNMD
SWITCH 7 & 8|Fallback Control Panel|Voltmeter Cam Switch Brand : SALZER Specifications : Off, RY, YB, BR, RN ,YN and BN|TNMD
SWITCH 7 & 8|Fallback Control Panel|Current Transformer (SES) Brand : SES Specifications: : with mouting bracket|TNMD
SWITCH 7 & 8|Fallback Control Panel|Contactor (K1) Brand : TELEMECANIQUE Specifications : 3 Pole 32A 24VDC 1NO/1NC Aux, 3 Pole 50A 24 VDC 1NO/NC Aux (Pic Atas & Bwh Barang x sama) (Attach Detail)|TNMD
SWITCH 7 & 8|Fallback Control Panel|Contactor (K1) Brand : TELEMECANIQUE Specifications : 3 Pole 32A 24VDC 1NO/1NC Aux, 3 Pole 50A 24 VDC 1NO/NC Aux (Pic Atas & Bwh Barang x sama) (Attach Detail)|TNMD
